uid,Specialization,Grad Date,Organization,Organization Department,Unified Titles,Position Title,Position Type,City,State,Industry,Type of Organization,Employment Responsibilities,Most valueable SI skills,Coursework relevance,Most important skills for job,Internship while at SI,Internship Organization or Past Experience,Level of value from internship,Ideal Position,Salary,Background,Background Discipline
1151,IEM,5/9/14,Booz Allen Hamilton,Assurance and Resiliency,Consultant,Tier 1 Consultant,Professional Permanent - Full Time,McLean,VA,Corporate,Corporate: consulting,"Consulting, Information Security/Defense",Did not answer,5 - Extremely Relevant,"Information security incident analysis, enterprise information security planning, information security education.",Yes,Information Technology Industry Council,Neutral,10,,Education,Humanities
20,HCI/IEM,5/9/14,Bridge Worldwide,User Experience Planning,Information Architect,"Experience Planner, Senior",Professional Permanent - Full Time,Cincinnati,OH,Media,Advertising/PR/Marketing,"Consulting, Website/Database/Information Systems Development, E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis, Information Visualization, Usability","HCI, Business School Marketing Class",5 - Extremely Relevant,,Yes,"Ford Motor Company, Dearborn",Moderately,5,,Journalism,Humanities
738,Tailored,12/6/14,Enlighten,,Information Architect,Information Architect,Professional Permanent - Full Time,Ann Arbor,MI,Corporate,Corporate: web design,,"multiple usability internships, 622",5 - Extremely Relevant,understanding the importance of the user experience,,,,9,,English,Humanities
883,Tailored,5/9/14,General Electric,Aviation - IT,Information Manager,Information Management Leadership Program,Professional Permanent - Full Time,Cincinnati,OH,Computer,"Automotive/Transportation, Computer: Software/Internet, Consumer Products, Defense/Aerospace","Business Analysis/Development, Website/Database/Information Development, Website/Database/Information Systems Administration, E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis, Information Visualization, Usability, Incentive Centered Design, Project Management, Statistical/Data Analysis","The tailored specialization gave me a chance to attend a wide variety of courses in SI, CoE and the Business School",5 - Extremely Relevant,"Project Management, Incentive-Centered Design",Yes,"Dabur Inc, UMICHR",Neutral,8,,History,Humanities
1101,IEM,12/6/14,Chevron Corporation,,Information Manager,Information Management Consultant,Professional Permanent - Full Time,Houston,TX,Corporate,Corporate: consulting,,career services workshops,5 - Extremely Relevant,,,,,8,,English,Humanities
21,LIS,5/6/14,Procter & Gamble,,Information Manager,Information Scientist,Professional Permanent - Full Time,Cincinnati,OH,Corporate,Corporate: special library,,"group work, multi-disciplinary aspect of curriculum, courses",5 - Extremely Relevant,combination of technical and traditional library search skills,,,,9,,Journalism,Humanities
1009,HCI/SC,5/9/14,Oracle,User Experience,Interaction Designer,"Interaction Designer, Intern",Professional Temporary - Full Time,Redwood Shores,CA,Computer,Computer: Software/Internet,Research,All HCI and Social Computing courses,5 - Extremely Relevant,All HCI and SC courses,Yes,UM Library,Not at all,7,,Education,Humanities
528,Tailored,,Epic Systems,,IT,Technical Services Engineer,Professional Permanent - Full Time,Madison,WI,Corporate,"Corporate: healthcare, software",,,,,,,,,,English,Humanities
263,LIS,4/8/14,"University of North Carolina, Chapel Hill",,Librarian,Librarian - City & Regional Planning,Professional Permanent - Full Time,Chapel Hill,NC,Library,Library: Academic,,"Si iTrack, on-campus interviewing (through SI), internet sites, contacts (professional and/or personal), and listservs",5 - Extremely Relevant,,Yes,,,,"$45,000 ",History,Humanities
441,LIS,5/6/14,Northcentral University,,Librarian,Librarian - eReference,Professional Permanent - Full Time,Prescott Valley,AZ,Library,Library: Academic,,sql programming course because of the hands on experience,3 - Neutral,"thinking through reference questions, SQL database course",,,,10,,English,Humanities
224,Tailored,5/9/14,Oakland University,University Libraries - Kresge Library,Librarian,Librarian - Information Literacy and Reference,Professional Permanent - Full Time,Rochester,MI,Library,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)",Internship / employer was only interested in practical experience,2 - Not Very Relevant,Knowledge of collection development and cataloging,Yes,"Bentley Historical Library, Cranbrook Archives and the Henry Ford",Extremely,9,,History,Humanities
573,LIS,5/6/14,National Security Archive,,Librarian,Librarian - Indexing,Professional Permanent - Full Time,Washington,DC,Library,Library: Government,,courses,5 - Extremely Relevant,teamwork,,,,8,,English,Humanities
968,SLM,12/9/14,Hawken School,,Librarian,Librarian - Upper School,Professional Permanent - Full Time,Cleveland,OH,Library,Library: K-12 School,Library Services,"The internship, volunteer, and student teaching experiences (in other words, all of the practical, hands-on opportunities) were most valuable to me, as they were most impressive in my e-Portfolio, and gave me the ability to provide examples in my interviews.",5 - Extremely Relevant,"Collection development, cataloging, and lesson planning are all integral to the position that I will be starting.",Yes,"Public Library Associate at Ann Arbor District Library (Youth Services), Student Teaching at Beverly Elementary in Birmingham, MI and at International Academy in Bloomfield Hills, MI.",Extremely,9,,Education,Humanities
288,CI,4/9/14,Chelsea District Library / Westland Public Library,Adult Services,Librarian,Librarian - Reference,Professional Permanent - Full Time,Chelsea/Westland,MI,Library,Library: Public,"Library Services (Youth/Adult Services, Catologing, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)","Internships, ASB (practical experience in library setting) / covered theory useful in reference",4 - Somewhat Relevant,"CI courses and SI 665 (online searching), 620 (collection development), 624 (youth media)",Yes,Ypsilanti District Library and Hatcher Graduate Library Faculty Exploratory,Extremely,9,,Library,Humanities
69,LIS,4/8/14,Chicago Public Library,,Librarian,Librarian - Special Projects,Professional Permanent - Full Time,Chicago,IL,Library,Library: Public,,Did not answer,5 - Extremely Relevant,,Yes,Chicago Public Library,Extremely,,"$50,000 ",English,Humanities
496,HCI,5/6/14,Global Educational Excellence,,President,Technology Director,Professional Permanent - Full Time,Ann Arbor,MI,Corporate,Corporate: consulting,,foundations classes,5 - Extremely Relevant,,,,,5,,English,Humanities
479,Tailored,5/6/14,"University of California, San Diego",,Product Manager,GIS Coordinator,Professional Permanent - Full Time,La Jolla,CA,Library,Library: Academic,,All were important.  Reference class was a good foundation for the reference interview and resource identification,5 - Extremely Relevant,ability to understand the informaiton landscape and the myriad issues associated with technology/libraries/people,,,,10,,English,Humanities
175,HCI,12/8/14,HSN - Home Shopping Network,Product Management,Product Manager,"Product Manager, Associate - User Experience",Professional Permanent - Full Time,St. Petersburg,FL,Media,Arts/Entertainment,E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis,Internships,5 - Extremely Relevant,All skills related to HCI like Adobe Suite and Contextual Inquiry,Yes,"Enterprise Rent-A-Car, Yahoo, Fry Inc, and Adler Planetarium",Extremely,8,,History,Humanities
1122,SC,5/9/14,Microsoft,Adcenter,Product Manager,Program Manager,,Redmond,WA,Computer,Computer: Software/Internet,"Project Management, Product Development",The entrepreneurship course was probably most helpful,2 - Not Very Relevant,Probably the evaluation of systems and services methodology.  Some of the entrepreneurship as well should be important,Yes,Troubadour Mobile,Extremely,5,,Education,Humanities
60,HCI,4/8/14,Logistics Innovation Agency / U.S. Army,,Project Manager,"Logistics Management Specialist, Intern",Professional Permanent - Full Time,New Cumberland,PA,Government,Government/Public/NGO,Evaluate technology and business processes,"SI iTrack, contacts (personal and/or professional) and the presentation on PMF program",5 - Extremely Relevant,,Yes,,,,"$39,795 ",English,Humanities
45,HCI,4/8/14,Bravo Health,,Project Manager,Health Services Training and Development Specialist,Professional Permanent - Full Time,Philadelphia,PA,Healthcare,Healthcare,,Did not answer,2 - Not Very Relevant,,Yes,Ford Motor Company,Moderately,,"$55,500 ",English,Humanities
363,Tailored,4/8/14,Ann Arbor Hands-on Museum,,Project Manager,"Evaluation, PR & Grants Specialist",Professional Permanent - Full Time,Ann Arbor,MI,Museum,Museum/Historical Society,,Did not answer,Did not answer,Did not answer,Did not answer,,Did not answer,,"$24,000 ",Library,Humanities
1076,ARM,4/9/14,University of Michigan,ICPSR,Project Manager,Projects Coordinator - Digital Preservation,Professional Temporary - Full Time,Ann Arbor,MI,University,University/College,"Digital Preservation/Digital Asset Management/Information Preservation, Project Management, Records Preservation/Management",The internship I completed during the summer between my first and second year directly led to this position,4 - Somewhat Relevant,"Knowledge of digital preservation and basic archival skills, technology skills",Yes,ICPSR Bentley Historical Library,Extremely,9,,Education,Humanities
489,HCI,4/8/14,Microsoft Research,,Researcher,"Researcher, Assistant ",Professional Permanent - Full Time,Bangalore,Karnataka (India),Corporate,Corporate: research,,"Research skills (observations, evaluations, etc.), presenation skills, and analytical skills",,,Yes,"Did a research projet w/Professor Lada Adamic and also worked on a project with John Deere through her, Software Developer",Moderately,10,Not allowed to share,Library,Humanities
1121,ARM/IPOL,4/9/14,United States House of Representatives,Office of History and Preservation,Researcher,Research Assistant,Professional Permanent - Full Time,Washington,DC,Government,Government/Public/NGO,Archives/Conservation,"My summer internship at the National Archives in the Center for Lesgislative Archives contributed to my selection for this position because my current office works closely with the Center, so I was familiar with the work they did, had met my current supervisor last summer, and my supervisor from my summer internship was able to provide a solid reference for me.",5 - Extremely Relevant,"Archival training, team work, research and writing, critical thinking, policy analysis/writing",Yes,"ASB 2008--Office of General Counsel, NARA, ASB 2009--Veterans History Project, Library of Congress Summer Internship 2008--Center for Legislative Archive, NARA",Extremely,8,,Education,Humanities
508,HCI,5/6/14,University of Michigan,Industrial Operations & Engineering,student,PhD student,Student,Ann Arbor,MI,University,University/College,,,,,,,,,,English,Humanities
185,IEM,4/8/14,University of Michigan,School of Information,student,PhD Student,Student,Ann Arbor,MI,University,University/College,"GSI, reasearch assistant, as my advisor demands","Internet sites, contacts (professional and/or personal), and professors",,,Yes,,,10,"$23,000 ",History,Humanities
1095,Tailored,5/6/14,University of Washington,School of Information,student,PhD student,Student,,WA,University,University/College,,,,,,,,,,English,Humanities
355,ARM,4/8/14,"University of California, Berkeley",,student,PhD Student,Student,Berkeyley,CA,University,University/College,Did not answer,,5 - Extremely Relevant,,,,Extremely Relevant,10,"$22,000 ",Library,Humanities
842,IEM,4/9/14,"SourceForge, Inc",,UX Designer,Software Designer,Professional Permanent - Full Time,Dexter,MI,Computer,Computer: Software/Internet,Website/Database/Information Systems Development,Prior Employment,5 - Extremely Relevant,"Statistical analysis, online community development, recommender and reputation system design skills, User interface design skills",Yes,MSU,Minimally,8,,History,Humanities
1195,HCI,5/6/14,Lockheed Martin,,UX Designer,Usability Specialist,Professional Permanent - Full Time,Baltimore,MD,Corporate,Corporate: software,,"622, 682",5 - Extremely Relevant,working on project teams,,,,10,,English,Humanities
675,HCI,4/9/14,CFA Institute,Interactive and External Relationships Division,UX Designer,Web Interaction Designer,Professional Permanent - Full Time,Charlottesville,VA,Government,Government/Public/NGO,"Website/Database/Information Systems Administration, E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis","SI 682, 622 Internship",5 - Extremely Relevant,"Usability Analysis, Interface and Interaction Design, Info Architecture",Yes,Kellogg Company,Moderately,8,,History,Humanities
340,Tailored,5/6/14,St. Jude Medical Center,,UX Designer,Human Factors Design Engineer,Professional Permanent - Full Time,Los Angeles,CA,Healthcare,"Healthcare, Corporate: software, product design",,"courses, internships, research design courses",5 - Extremely Relevant,"interviewing users, observation, design heuristics and best practices, teamwork, psychology principles, basic mockup skills",,,,10,,English,Humanities
15,HCI,4/8/14,University of Michigan,Medical School,UX Designer,User Experience Designer,Professional Permanent - Full Time,Ann Arbor,MI,University,University/College,,,,,,,,,,English,Humanities
537,HCI,5/6/14,Deloitte U.S. firms,,UX Developer,Usability Engineer,Professional Permanent - Full Time,Nashville,TN,Corporate,Corporate: web design,,"mock interview at SI Career services and UM career center, career services workshops, career services advising, sochi job listing, UM career center",5 - Extremely Relevant,"internship, web design, usability",,,,9,,English,Humanities
1063,HCI,4/9/14,ForeSee Results,Usability,UX Researcher,Usability Auditor,Professional Permanent - Full Time,Ann Arbor,MI,Computer,Computer: Software/Internet,Usability (Human Factors Research /Information Architecture/Evaluation Design),Work ethic,5 - Extremely Relevant,"Contextual Inquiry, Project Management",Yes,Belkin,Neutral,10,,Education,Humanities
14,HCI,5/6/14,Microsoft,,UX Researcher,User Experience Researcher,Professional Permanent - Full Time,Mountain View,CA,Corporate,"Corporate: hardware, software, product design",,"participating in the CHI student design competition, learning about social technologies and courses",5 - Extremely Relevant,research methods,,,,9,,Journalism,Humanities
559,HCI,12/6/14,Google,,UX Researcher,User Experience Researcher,Professional Permanent - Full Time,Mountain View,CA,Corporate,"Corporate: IT, e-commerce",,courses and internships,5 - Extremely Relevant,all skills gained in 622 and all of the HCI classes,,,,7,,English,Humanities
813,SC,4/8/14,Microsoft,,UX Researcher,User Experience Researcher,Professional Permanent - Full Time,Seattle,WA,Corporate,Corporate: software,,"SI iTrack, on-campus interviewing (through SI), Contacts (Professional and/or Personal)",5 - Extremely Relevant,,,,Extremely,,"$80-$85,000",English,Humanities
184,HCI,5/6/14,Google,,UX Researcher,User Experience Researcher,Professional Permanent - Full Time,Mountain View,CA,Corporate,"Corporate: web design, software, e-commerce",,group projects and specialization-specific courses,5 - Extremely Relevant,knowledge and competence in usability evaluation methods and user centered design principles,,,,10,,English,Humanities
501,ARM,,Gale Group,,N/A,,Professional Permanent - Full Time,Farmington Hills,MI,Corporate,Corporate: publishing,,,,,,,,,,English,Humanities
90,HCI,12/8/14,Self-Employed,,N/A,Did not answer,Did not answer,Did not answer,"Kolkata, India",Financial,"Financial Services/Banking, Engineering",Business Analysis/Development,None /  I'm in a managerial role,2 - Not Very Relevant,"Diversity, ability to interact with different people",Yes,Onward Research & Innovation,Neutral,3,,History,Humanities
971,SLM,12/9/14,Alaska Geographic,,N/A,Vendor,Professional Permanent - Full Time,,AK,Media,Multimedia/Publishing,Managing and operating a portion of the non-profit organization which provides educational programs for National Park visitors.,,,,,,,,,Education,Humanities
434,Tailored,,University of Michigan,,N/A,,Professional Permanent - Full Time,Ann Arbor,MI,University,University/College,,,,,,,,,,English,Humanities
110,IEM,8/8/14,Eli Lilly,Did not answer,Analyst,Systems Analyst,Professional Permanent - Full Time,Indianapolis,IN,Healthcare,Healthcare,"Website/Database/Information Systems Development, Product Development","SI 501, PEP experience",4 - Somewhat Relevant,Project management and working within interdisciplinary project teams,Yes,Deloitte & Touche,Extremely,8,,Computer Science,Science & Math
